tsg;id_gene;gene_symbol;tissue_L1;tissue_L2;Z_L1;SNR_L1;SIGNAL_L1;NOISE_L1;ref_tissue_L1;REF_L1;SRR_L1;Z_L2;SNR_L2;SIGNAL_L2;NOISE_L2;ref_tissue_L2;REF_L2;SRR_L2
DYRK3_testis;8444.0;DYRK3;testis;male_germinal;4.0;1.6;4.314125;2.747063;breast;2.140714;2.0;3.4;1.6;4.314125;2.747063;female_genital;1.930204;2.2
DOC2B_mouth;8447.0;DOC2B;mouth;head_neck;;;;;;;;2.8;1.2;2.655613;2.130612;female_genital;1.303742;2.0
DOC2A_testis;8448.0;DOC2A;testis;male_germinal;;;;;;;;3.3;1.5;4.352705;2.916315;female_genital;0.925253;4.7
FOXN1_connective_tissues;8456.0;FOXN1;connective_tissues;soft_tissues;;;;;;;;2.8;3.1;2.225856;0.724716;female_genital;0.362674;6.1
FOXN1_mouth;8456.0;FOXN1;mouth;head_neck;;;;;;;;2.7;3.0;2.151442;0.724716;female_genital;0.362674;5.9
TTF2_embryonic_stem_cells;8458.0;TTF2;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.5;2.2;4.135774;1.885255;female_genital;1.472421;2.8
FKBP6_testis;8468.0;FKBP6;testis;male_germinal;6.4;12.3;4.934068;0.402671;breast;0.034744;142.0;4.2;25.4;4.934068;0.193984;female_genital;0.044559;110.7
IRS4_embryonic_stem_cells;8471.0;IRS4;embryonic_stem_cells;totipotent_stem_cells;4.6;1.4;2.124462;1.525854;breast;0.081707;26.0;4.0;2.9;2.124462;0.723677;female_genital;0.201257;10.6
GPR65_tonsil;8477.0;GPR65;tonsil;lymphoid;;;;;;;;2.7;1.2;1.969376;1.581771;female_genital;0.504204;3.9
RGS5_embryonic_stem_cells;8490.0;RGS5;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;2.7;1.2;2.701821;2.259498;female_genital;0.748146;3.6
RGS5_gallbladder;8490.0;RGS5;gallbladder;hepato_bilary;4.4;1.5;6.134;4.00049;breast;0.554556;11.1;;;;;;;
PPFIA4_brain;8497.0;PPFIA4;brain;neuro;3.9;1.5;4.05336;2.773759;breast;0.402791;10.1;2.8;1.3;3.143371;2.398739;female_genital;0.638751;4.9
PPFIA2_brain;8499.0;PPFIA2;brain;neuro;4.1;1.5;3.189702;2.126492;breast;0.375061;8.5;3.0;1.4;2.70312;1.918329;female_genital;0.589364;4.6
MMP23B_placenta;8510.0;MMP23B;placenta;placenta;;;;;;;;3.4;2.1;1.882852;0.881607;female_genital;0.618383;3.0
MMP23A_placenta;8511.0;MMP23A;placenta;placenta;;;;;;;;4.1;3.8;2.566318;0.679749;female_genital;0.371931;6.9
MBL1P_pancreas;8512.0;MBL1P;pancreas;pancreas;;;;;;;;2.9;1.4;2.183707;1.563923;female_genital;0.607471;3.6
LIPF_colon;8513.0;LIPF;colon;digestive;;;;;;;;3.5;2.2;2.873696;1.282424;female_genital;0.551194;5.2
LIPF_stomach;8513.0;LIPF;stomach;digestive;6.2;5.3;9.574859;1.796852;breast;0.299671;32.0;;;;;;;
ITGA10_artery;8515.0;ITGA10;artery;cardio_vascular;4.2;1.7;4.731637;2.811529;breast;1.78628;2.6;3.3;2.1;4.731637;2.290255;female_genital;1.607309;2.9
ITGA8_artery;8516.0;ITGA8;artery;cardio_vascular;;;;;;;;3.0;1.9;6.458473;3.47574;female_genital;1.658266;3.9
GCM1_placenta;8521.0;GCM1;placenta;placenta;6.0;3.8;2.878997;0.759898;breast;0.103932;27.7;4.0;3.8;2.878997;0.759898;female_genital;0.062997;45.7
DDO_peritoneum_retroperitoneum;8528.0;DDO;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;2.9;1.6;3.434411;2.191983;female_genital;1.223619;2.8
CYP4F2_liver;8529.0;CYP4F2;liver;hepato_bilary;;;;;;;;3.5;1.9;5.554712;2.946054;female_genital;0.081554;68.1
CST7_blood;8530.0;CST7;blood;hematopoietic;;;;;;;;3.0;1.3;7.229362;5.426278;female_genital;1.792162;4.0
CPZ_placenta;8532.0;CPZ;placenta;placenta;;;;;;;;3.7;1.9;4.289746;2.282704;female_genital;0.957017;4.5
BCAS1_brain;8537.0;BCAS1;brain;neuro;;;;;;;;3.5;1.9;6.230925;3.220991;female_genital;0.884631;7.0
BARX2_mouth;8538.0;BARX2;mouth;head_neck;;;;;;;;3.1;2.2;4.961778;2.273471;female_genital;2.134417;2.3
FCN3_bronchus_lung;8547.0;FCN3;bronchus_lung;tracheo_broncho_lung;;;;;;;;2.9;1.4;7.099814;5.159424;female_genital;1.393366;5.1
LGR5_placenta;8549.0;LGR5;placenta;placenta;;;;;;;;3.6;2.6;3.194999;1.211196;female_genital;0.654365;4.9
TCAP_muscles;8557.0;TCAP;muscles;heart_muscles;4.4;1.2;9.21748;7.477989;breast;0.758022;12.2;3.8;2.1;8.273032;3.970068;female_genital;0.88625;9.3
TMEFF1_brain;8577.0;TMEFF1;brain;neuro;4.5;1.8;3.527938;2.014701;breast;0.257569;13.7;2.9;1.4;2.912922;2.014701;female_genital;0.483373;6.0
LY6D_mouth;8581.0;LY6D;mouth;head_neck;;;;;;;;3.4;1.6;6.697353;4.241424;female_genital;1.245762;5.4
TNFSF11_embryonic_stem_cells;8600.0;TNFSF11;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.5;2.4;1.580947;0.64971;female_genital;0.219128;7.2
RGS20_brain;8601.0;RGS20;brain;neuro;4.8;1.8;2.663767;1.45931;breast;0.1302;20.5;3.6;2.5;2.037473;0.811327;female_genital;0.188736;10.8
RDH16_biliary_tract;8608.0;RDH16;biliary_tract;hepato_bilary;4.2;4.2;6.44436;1.53661;breast;0.33112;19.5;;;;;;;
RDH16_liver;8608.0;RDH16;liver;hepato_bilary;4.5;4.4;6.770157;1.53661;breast;0.33112;20.4;4.1;4.3;6.561478;1.53661;female_genital;0.469091;14.0
STC2_fibroblast;8614.0;STC2;fibroblast;skin_soft_tissues;;;;;;;;3.1;1.7;5.8339;3.531254;female_genital;2.908059;2.0
TP63_mouth;8626.0;TP63;mouth;head_neck;;;;;;;;2.6;1.3;4.366567;3.240587;female_genital;1.946224;2.2
HSD17B6_liver;8630.0;HSD17B6;liver;hepato_bilary;;;;;;;;3.2;1.9;7.653877;4.100389;female_genital;1.371039;5.6
DNAH17_testis;8632.0;DNAH17;testis;male_germinal;5.3;1.8;2.802921;1.530764;breast;0.304076;9.2;3.8;2.1;2.802921;1.307258;female_genital;0.288986;9.7
UNC5C_thyroid_gland;8633.0;UNC5C;thyroid_gland;endocrine_gland;;;;;;;;2.5;1.3;2.041529;1.554095;female_genital;0.959639;2.1
PCDHGB4_fibroblast;8641.0;PCDHGB4;fibroblast;skin_soft_tissues;4.5;1.6;1.513795;0.966706;breast;0.375006;4.0;3.3;1.6;1.513795;0.966706;female_genital;0.435864;3.5
PTCH2_testis;8643.0;PTCH2;testis;male_germinal;;;;;;;;3.2;1.6;3.88937;2.359021;female_genital;1.864194;2.1
ABCB11_biliary_tract;8647.0;ABCB11;biliary_tract;hepato_bilary;4.2;2.1;2.882957;1.371833;breast;0.228099;12.6;;;;;;;
ABCB11_liver;8647.0;ABCB11;liver;hepato_bilary;4.2;2.1;2.869543;1.371833;breast;0.228099;12.6;3.8;2.0;2.782581;1.371833;female_genital;0.127008;21.9
EIF3C_placenta;8663.0;EIF3C;placenta;placenta;;;;;;;;3.7;2.4;5.392673;2.203309;female_genital;1.473339;3.7
SLC4A4_peritoneum_retroperitoneum;8671.0;SLC4A4;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;2.7;1.3;6.325267;4.993793;female_genital;0.698453;9.1
MARCO_bronchus_lung;8685.0;MARCO;bronchus_lung;tracheo_broncho_lung;;;;;;;;3.1;1.6;6.209664;3.997026;female_genital;1.493374;4.2
KRT36_mouth;8689.0;KRT36;mouth;head_neck;5.1;1.9;2.40701;1.264896;breast;0.028801;83.6;4.1;4.2;1.625462;0.390035;female_genital;0.079397;20.5
S1PR4_blood;8698.0;S1PR4;blood;hematopoietic;;;;;;;;3.1;1.3;6.077752;4.548292;female_genital;0.84208;7.2
B3GALT2_gallbladder;8707.0;B3GALT2;gallbladder;hepato_bilary;4.2;1.6;3.284315;2.041884;breast;0.214681;15.3;;;;;;;
B3GALT1_embryonic_stem_cells;8708.0;B3GALT1;embryonic_stem_cells;totipotent_stem_cells;4.1;1.3;2.513284;1.890633;breast;0.60576;4.1;3.7;2.1;2.513284;1.20346;female_genital;0.404158;6.2
SERPINB7_connective_tissues;8710.0;SERPINB7;connective_tissues;soft_tissues;;;;;;;;3.0;1.3;2.917383;2.282774;female_genital;0.180166;16.2
SERPINB7_skin;8710.0;SERPINB7;skin;soft_tissues;4.5;1.3;5.513457;4.25706;breast;0.084674;65.1;;;;;;;
PAGE1_testis;8712.0;PAGE1;testis;male_germinal;6.5;53.7;2.280953;0.042482;breast;0.004834;471.9;4.2;79.5;2.280953;0.028704;female_genital;0.0106;215.2
NOL4_pituitary_gland;8715.0;NOL4;pituitary_gland;endocrine_gland;3.9;1.2;2.548283;2.206491;breast;0.107544;23.7;;;;;;;
NOL4_testis;8715.0;NOL4;testis;male_germinal;;;;;;;;3.2;1.3;2.175784;1.646903;female_genital;0.079211;27.5
MYOM1_muscles;8736.0;MYOM1;muscles;heart_muscles;4.0;1.2;6.785719;5.608176;breast;1.996347;3.4;3.4;1.8;6.146378;3.50147;female_genital;1.781831;3.4
TNFSF14_blood;8740.0;TNFSF14;blood;hematopoietic;;;;;;;;3.1;1.5;4.181452;2.780558;female_genital;1.108544;3.8
TNFSF9_haematopoietic_div;8744.0;TNFSF9;haematopoietic_div;hematopoietic;5.4;2.6;5.495058;2.090611;breast;0.559479;9.8;;;;;;;
ADAM23_brain;8745.0;ADAM23;brain;neuro;;;;;;;;2.7;1.2;2.939161;2.525601;female_genital;0.78617;3.7
ADAM21_testis;8747.0;ADAM21;testis;male_germinal;6.3;5.8;2.468077;0.427974;breast;0.13665;18.1;4.2;5.8;2.468077;0.427974;female_genital;0.136465;18.1
ADAM20_testis;8748.0;ADAM20;testis;male_germinal;6.3;5.3;1.783251;0.336494;breast;0.080456;22.2;4.2;8.4;1.783251;0.211512;female_genital;0.098308;18.1
ADAM18_testis;8749.0;ADAM18;testis;male_germinal;6.5;118.9;2.322844;0.019531;breast;0.000969;2397.2;4.2;198.6;2.322844;0.011699;female_genital;0.000936;2481.7
ADAM6_testis;8755.0;ADAM6;testis;male_germinal;6.5;44.1;2.747464;0.062296;breast;0.009064;303.1;4.2;56.9;2.747464;0.048273;female_genital;0.005918;464.3
SIGLEC5_blood;8778.0;SIGLEC5;blood;hematopoietic;4.5;1.5;5.323666;3.597337;breast;0.199793;26.6;3.5;1.6;4.177823;2.682665;female_genital;0.200244;20.9
MATN4_pancreas;8785.0;MATN4;pancreas;pancreas;4.1;1.3;1.581372;1.223946;breast;0.30664;5.2;3.4;1.7;1.581372;0.924892;female_genital;0.226467;7.0
RGS11_brain;8786.0;RGS11;brain;neuro;;;;;;;;2.9;1.7;4.588573;2.774118;female_genital;1.499699;3.1
DLK1_placenta;8788.0;DLK1;placenta;placenta;;;;;;;;3.6;2.3;7.474502;3.253365;female_genital;1.256094;6.0
FBP2_muscles;8789.0;FBP2;muscles;heart_muscles;5.2;1.9;5.41833;2.906719;breast;0.118032;45.9;3.3;1.6;2.541603;1.566837;female_genital;0.071829;35.4
TNFRSF10D_fibroblast;8793.0;TNFRSF10D;fibroblast;skin_soft_tissues;;;;;;;;3.6;1.8;4.563632;2.56823;female_genital;1.948965;2.3
TNFRSF10C_blood;8794.0;TNFRSF10C;blood;hematopoietic;5.0;2.1;6.59995;3.201763;breast;0.81269;8.1;3.6;2.0;5.147537;2.576121;female_genital;0.691055;7.4
TRIM24_embryonic_stem_cells;8805.0;TRIM24;embryonic_stem_cells;totipotent_stem_cells;4.9;1.8;5.814036;3.282197;breast;2.167238;2.7;3.7;1.8;5.814036;3.145862;female_genital;2.079712;2.8
IL18RAP_blood;8807.0;IL18RAP;blood;hematopoietic;4.4;1.4;5.938679;4.3027;breast;0.609274;9.7;3.3;1.5;4.762577;3.17226;female_genital;0.536466;8.9
HESX1_embryonic_stem_cells;8820.0;HESX1;embryonic_stem_cells;totipotent_stem_cells;5.3;1.9;3.717835;1.977358;breast;0.800257;4.6;3.8;1.9;3.717835;1.977358;female_genital;0.692552;5.4
FGF17_brain;8822.0;FGF17;brain;neuro;;;;;;;;2.8;1.3;2.291671;1.72948;female_genital;0.561475;4.1
CCN4_fibroblast;8840.0;CCN4;fibroblast;skin_soft_tissues;;;;;;;;3.3;2.0;3.689646;1.857233;female_genital;1.202955;3.1
HCAR3_blood;8843.0;HCAR3;blood;hematopoietic;;;;;;;;3.0;1.6;2.705426;1.700622;female_genital;0.391395;6.9
DLEU2_thymus;8847.0;DLEU2;thymus;lymphoid;4.4;1.6;2.159519;1.322866;breast;0.475791;4.5;;;;;;;
CDK5R1_brain;8851.0;CDK5R1;brain;neuro;;;;;;;;2.7;1.2;3.367029;2.709739;female_genital;0.69831;4.8
AKAP4_testis;8852.0;AKAP4;testis;male_germinal;6.5;129.0;5.976515;0.046316;breast;0.002638;2265.5;4.2;147.5;5.976515;0.040508;female_genital;0.00384;1556.4
ALDH1A2_testis;8854.0;ALDH1A2;testis;male_germinal;;;;;;;;2.7;1.4;4.298068;2.997526;female_genital;2.763189;1.6
NR1I2_liver;8856.0;NR1I2;liver;hepato_bilary;;;;;;;;4.0;3.3;3.664364;1.120027;female_genital;0.081928;44.7
FCGBP_thyroid_gland;8857.0;FCGBP;thyroid_gland;endocrine_gland;;;;;;;;2.9;1.5;4.878129;3.274556;female_genital;1.571834;3.1
PROZ_biliary_tract;8858.0;PROZ;biliary_tract;hepato_bilary;4.4;1.3;5.641545;4.346684;breast;0.099833;56.5;;;;;;;
PROZ_liver;8858.0;PROZ;liver;hepato_bilary;;;;;;;;3.0;2.8;4.229283;1.485722;female_genital;0.121608;34.8
PROZ_peritoneum_retroperitoneum;8858.0;PROZ;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;2.5;2.5;3.654358;1.485722;female_genital;0.121608;30.1
VNN2_blood;8875.0;VNN2;blood;hematopoietic;4.5;1.7;8.339581;4.791345;breast;0.777566;10.7;3.4;1.6;7.096516;4.370029;female_genital;0.69023;10.3
VNN1_liver;8876.0;VNN1;liver;hepato_bilary;;;;;;;;2.9;1.4;5.557567;3.843834;female_genital;0.63836;8.7
CCNA1_testis;8900.0;CCNA1;testis;male_germinal;4.9;1.9;5.1192;2.721384;breast;0.459537;11.1;3.9;3.4;5.1192;1.498793;female_genital;0.749512;6.8
ENDOU_mouth;8909.0;ENDOU;mouth;head_neck;;;;;;;;3.1;1.6;3.419428;2.122873;female_genital;0.792812;4.3
CACNA1I_brain;8911.0;CACNA1I;brain;neuro;;;;;;;;2.8;3.8;1.658473;0.438558;female_genital;0.099226;16.7
CACNA1I_thyroid_gland;8911.0;CACNA1I;thyroid_gland;endocrine_gland;;;;;;;;2.9;4.0;1.734647;0.438558;female_genital;0.099226;17.5
BSN_brain;8927.0;BSN;brain;neuro;4.5;1.2;2.964805;2.406833;breast;0.210724;14.1;3.2;1.3;2.246167;1.781432;female_genital;0.220387;10.2
FOXH1_embryonic_stem_cells;8928.0;FOXH1;embryonic_stem_cells;totipotent_stem_cells;5.4;2.4;3.043336;1.249735;breast;0.063361;48.0;4.1;4.7;3.043336;0.651304;female_genital;0.0618;49.2
BAIAP3_pituitary_gland;8938.0;BAIAP3;pituitary_gland;endocrine_gland;5.2;2.3;8.362346;3.666841;breast;1.59589;5.2;;;;;;;
CDK5R2_brain;8941.0;CDK5R2;brain;neuro;3.9;5.7;3.747632;0.657811;breast;0.015653;239.4;4.0;4.2;2.781124;0.657811;female_genital;0.027506;101.1
CDK5R2_pituitary_gland;8941.0;CDK5R2;pituitary_gland;endocrine_gland;4.9;7.0;4.583144;0.657811;breast;0.015653;292.8;;;;;;;
KYNU_liver;8942.0;KYNU;liver;hepato_bilary;;;;;;;;2.6;1.6;1.626123;1.004407;female_genital;0.406995;4.0
KYNU_tonsil;8942.0;KYNU;tonsil;lymphoid;4.9;2.2;3.822901;1.705164;breast;0.633644;6.0;;;;;;;
H2AC11_testis;8969.0;H2AC11;testis;male_germinal;;;;;;;;3.7;2.6;1.81548;0.700528;female_genital;0.247432;7.3
H2BC11_testis;8970.0;H2BC11;testis;male_germinal;;;;;;;;3.1;1.5;3.28057;2.242338;female_genital;0.674131;4.9
USP13_muscles;8975.0;USP13;muscles;heart_muscles;4.4;1.8;5.415733;2.982795;breast;2.313757;2.3;;;;;;;
HSPB3_muscles;8988.0;HSPB3;muscles;heart_muscles;;;;;;;;3.8;2.7;5.236807;1.951097;female_genital;0.503131;10.4
TRPA1_fibroblast;8989.0;TRPA1;fibroblast;skin_soft_tissues;;;;;;;;3.5;1.7;1.549958;0.901285;female_genital;0.043431;35.7
PGLYRP1_blood;8993.0;PGLYRP1;blood;hematopoietic;4.2;2.0;6.464657;3.284454;breast;0.156787;41.2;3.7;2.0;5.037047;2.485826;female_genital;0.150663;33.4
PGLYRP1_bone_marrow;8993.0;PGLYRP1;bone_marrow;hematopoietic;4.3;2.0;6.523453;3.284454;breast;0.156787;41.6;;;;;;;
CDKL2_testis;8999.0;CDKL2;testis;male_germinal;;;;;;;;2.7;1.5;2.872282;1.869933;female_genital;0.450744;6.4
HAP1_brain;9001.0;HAP1;brain;neuro;;;;;;;;2.7;1.4;1.997455;1.427747;female_genital;0.800298;2.5
F2RL3_bronchus_lung;9002.0;F2RL3;bronchus_lung;tracheo_broncho_lung;;;;;;;;2.9;1.6;3.015731;1.90124;female_genital;1.095462;2.8
NAT8_peritoneum_retroperitoneum;9027.0;NAT8;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;4.8;1.5;10.28276;6.948009;breast;0.196082;52.4;3.5;1.8;10.28276;5.681491;female_genital;0.273941;37.5
RHBDL1_brain;9028.0;RHBDL1;brain;neuro;;;;;;;;2.8;1.3;2.762878;2.179845;female_genital;0.834154;3.3
TM4SF5_liver;9032.0;TM4SF5;liver;hepato_bilary;;;;;;;;3.3;1.4;5.97635;4.195082;female_genital;0.017742;336.8
CCRL2_bronchus_lung;9034.0;CCRL2;bronchus_lung;tracheo_broncho_lung;;;;;;;;2.7;1.2;2.899902;2.417291;female_genital;1.109291;2.6
PSTPIP1_blood;9051.0;PSTPIP1;blood;hematopoietic;;;;;;;;3.0;1.2;5.018008;4.133108;female_genital;1.021444;4.9
GPRC5A_bronchus_lung;9052.0;GPRC5A;bronchus_lung;tracheo_broncho_lung;;;;;;;;3.0;1.8;6.534456;3.578739;female_genital;2.606489;2.5
SLC13A2_peritoneum_retroperitoneum;9058.0;SLC13A2;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;3.6;2.0;5.506294;2.7821;female_genital;1.009337;5.5
CLDN8_peritoneum_retroperitoneum;9073.0;CLDN8;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;2.8;1.3;5.980259;4.709103;female_genital;2.086486;2.9
CLDN6_embryonic_stem_cells;9074.0;CLDN6;embryonic_stem_cells;totipotent_stem_cells;6.4;13.8;7.468329;0.541008;breast;0.044108;169.3;4.2;13.8;7.468329;0.541008;female_genital;0.049945;149.5
CLDN2_peritoneum_retroperitoneum;9075.0;CLDN2;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;3.1;1.7;7.160969;4.334638;female_genital;0.389389;18.4
CLDN9_blood;9080.0;CLDN9;blood;hematopoietic;;;;;;;;2.8;1.3;2.005409;1.5064;female_genital;0.219471;9.1
CLDN9_pituitary_gland;9080.0;CLDN9;pituitary_gland;endocrine_gland;4.7;1.6;4.11384;2.624621;breast;0.193044;21.3;;;;;;;
VCY_testis;9084.0;VCY;testis;male_germinal;6.5;104.3;2.791094;0.026768;breast;0.0;999.0;4.2;104.3;2.791094;0.026768;female_genital;0.0;999.0
PKMYT1_brain;9088.0;PKMYT1;brain;neuro;;;;;;;;2.5;1.2;2.333609;1.935849;female_genital;0.206573;11.3
TBX19_pituitary_gland;9095.0;TBX19;pituitary_gland;endocrine_gland;5.1;2.5;5.171683;2.029081;breast;1.367852;3.8;;;;;;;
TBX18_artery;9096.0;TBX18;artery;cardio_vascular;;;;;;;;2.7;2.1;3.76077;1.825338;female_genital;1.236657;3.0
TBX18_fibroblast;9096.0;TBX18;fibroblast;skin_soft_tissues;;;;;;;;2.5;1.9;3.553584;1.825338;female_genital;1.236657;2.9
USP6_testis;9098.0;USP6;testis;male_germinal;5.0;1.5;3.408501;2.262072;breast;0.480561;7.1;4.0;3.0;3.408501;1.139659;female_genital;0.554202;6.2
FCGR2C_placenta;9103.0;FCGR2C;placenta;placenta;3.9;1.8;5.706854;3.148088;breast;1.403272;4.1;3.4;2.2;5.706854;2.554989;female_genital;1.237046;4.6
RGN_liver;9104.0;RGN;liver;hepato_bilary;;;;;;;;2.6;1.3;5.822317;4.377465;female_genital;1.878603;3.1
INA_brain;9118.0;INA;brain;neuro;4.1;1.8;5.066725;2.855643;breast;0.042371;119.6;3.2;1.3;3.811192;2.855643;female_genital;0.067484;56.5
INA_pituitary_gland;9118.0;INA;pituitary_gland;endocrine_gland;4.0;1.7;4.938215;2.855643;breast;0.042371;116.5;;;;;;;
KRT75_mouth;9119.0;KRT75;mouth;head_neck;;;;;;;;3.6;1.6;1.855332;1.161635;female_genital;0.041195;45.0
KRT75_pharynx;9119.0;KRT75;pharynx;head_neck;4.4;1.3;2.883723;2.144003;breast;0.0471;61.2;;;;;;;
SLC16A4_peritoneum_retroperitoneum;9122.0;SLC16A4;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;2.9;1.3;6.098559;4.591459;female_genital;2.093244;2.9
KCNQ4_artery;9132.0;KCNQ4;artery;cardio_vascular;;;;;;;;2.7;1.4;2.678581;1.953284;female_genital;1.312523;2.0
SYNGR3_brain;9143.0;SYNGR3;brain;neuro;4.4;1.6;4.896551;3.027408;breast;0.195927;25.0;3.2;1.5;3.711662;2.446137;female_genital;0.253902;14.6
SYNGR1_brain;9145.0;SYNGR1;brain;neuro;;;;;;;;3.0;1.9;5.543507;2.950325;female_genital;2.687713;2.1
SLC28A1_peritoneum_retroperitoneum;9154.0;SLC28A1;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;3.1;1.3;5.172733;4.015903;female_genital;0.140197;36.9
EXO1_embryonic_stem_cells;9156.0;EXO1;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.6;2.2;3.571909;1.647431;female_genital;0.261071;13.7
MYOM2_muscles;9172.0;MYOM2;muscles;heart_muscles;4.6;1.2;6.510702;5.432948;breast;0.781894;8.3;3.8;2.6;5.925541;2.266942;female_genital;0.691747;8.6
SLC16A7_kidney;9194.0;SLC16A7;kidney;urinary_kidney;;;;;;;;2.8;1.2;2.611205;2.225608;female_genital;1.015314;2.6
KCNAB3_brain;9196.0;KCNAB3;brain;neuro;;;;;;;;2.6;1.5;2.233167;1.487842;female_genital;1.292263;1.7
LGI1_brain;9211.0;LGI1;brain;neuro;5.3;2.0;3.875502;1.933046;breast;0.082234;47.1;4.0;3.5;3.350049;0.959301;female_genital;0.090782;36.9
AURKB_embryonic_stem_cells;9212.0;AURKB;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.3;1.8;5.027384;2.768669;female_genital;0.607113;8.3
FCMR_tonsil;9214.0;FCMR;tonsil;lymphoid;;;;;;;;3.1;1.2;5.904521;4.839533;female_genital;1.455907;4.1
LRAT_embryonic_stem_cells;9227.0;LRAT;embryonic_stem_cells;totipotent_stem_cells;5.4;3.2;3.858976;1.206814;breast;0.525102;7.3;3.9;3.3;3.858976;1.175529;female_genital;0.375902;10.3
DLGAP1_brain;9229.0;DLGAP1;brain;neuro;4.9;2.3;3.166153;1.385887;breast;0.420664;7.5;3.2;1.7;2.41276;1.385887;female_genital;0.433321;5.6
NOG_placenta;9241.0;NOG;placenta;placenta;4.2;1.5;2.493137;1.624952;breast;0.273296;9.1;3.7;2.0;2.493137;1.232079;female_genital;0.437226;5.7
CRLF1_artery;9244.0;CRLF1;artery;cardio_vascular;;;;;;;;3.1;1.7;6.071546;3.552926;female_genital;1.716286;3.5
GCNT3_mouth;9245.0;GCNT3;mouth;head_neck;;;;;;;;2.5;1.2;2.691615;2.250525;female_genital;0.385875;7.0
RPS6KA5_placenta;9252.0;RPS6KA5;placenta;placenta;;;;;;;;3.0;1.5;1.510308;0.996311;female_genital;0.742275;2.0
CACNA2D2_bronchus_lung;9254.0;CACNA2D2;bronchus_lung;tracheo_broncho_lung;4.1;1.5;4.84099;3.29893;breast;1.245016;3.9;3.3;1.7;4.821216;2.858926;female_genital;1.295432;3.7
PIWIL1_testis;9271.0;PIWIL1;testis;male_germinal;6.4;7.9;4.909365;0.62261;breast;0.013014;377.2;4.2;22.3;4.909365;0.2197;female_genital;0.040303;121.8
GPR37L1_brain;9283.0;GPR37L1;brain;neuro;4.7;5.7;3.65492;0.642555;breast;0.07365;49.6;4.2;8.6;3.562672;0.414064;female_genital;0.098041;36.3
GPR37L1_central_nervous_system;9283.0;GPR37L1;central_nervous_system;neuro;4.2;5.2;3.313904;0.642555;breast;0.07365;45.0;;;;;;;
NPIPA1_placenta;9284.0;NPIPA1;placenta;placenta;;;;;;;;3.2;1.8;3.949533;2.24377;female_genital;1.322104;3.0
GPR55_haematopoietic_div;9290.0;GPR55;haematopoietic_div;hematopoietic;4.1;1.5;2.617934;1.750476;breast;0.219598;11.9;;;;;;;
GPR55_testis;9290.0;GPR55;testis;male_germinal;;;;;;;;3.0;1.3;1.65488;1.296468;female_genital;0.15599;10.6
SNORD22_embryonic_stem_cells;9304.0;SNORD22;embryonic_stem_cells;totipotent_stem_cells;5.9;2.6;2.423344;0.925602;breast;0.0;999.0;4.2;12.1;2.423344;0.199486;female_genital;0.005193;466.7
ASIC3_testis;9311.0;ASIC3;testis;male_germinal;;;;;;;;2.9;1.3;3.945707;3.119009;female_genital;1.400599;2.8
PTER_peritoneum_retroperitoneum;9317.0;PTER;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;3.3;1.3;4.774161;3.557055;female_genital;1.952021;2.4
TRIP13_embryonic_stem_cells;9319.0;TRIP13;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;2.7;2.2;3.900978;1.760931;female_genital;0.916803;4.3
TRIP13_testis;9319.0;TRIP13;testis;male_germinal;;;;;;;;2.7;2.3;3.981315;1.760931;female_genital;0.916803;4.3
B4GALT6_embryonic_stem_cells;9331.0;B4GALT6;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.2;1.6;2.736881;1.705046;female_genital;0.977689;2.8
TGM5_mouth;9333.0;TGM5;mouth;head_neck;;;;;;;;4.2;8.3;2.087818;0.250128;female_genital;0.250128;8.3
CER1_embryonic_stem_cells;9350.0;CER1;embryonic_stem_cells;totipotent_stem_cells;6.5;34.6;4.781288;0.138169;breast;0.047312;101.1;4.2;41.0;4.781288;0.11659;female_genital;0.050945;93.9
LHX2_brain;9355.0;LHX2;brain;neuro;5.0;2.7;2.626743;0.966879;breast;0.02109;124.5;3.3;2.0;1.931481;0.966879;female_genital;0.021869;88.3
SLC22A6_peritoneum_retroperitoneum;9356.0;SLC22A6;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;5.6;1.7;8.106489;4.766578;breast;0.00652;1243.3;3.8;2.1;8.106489;3.885574;female_genital;0.010979;738.4
