tsg;id_gene;gene_symbol;tissue_L1;tissue_L2;Z_L1;SNR_L1;SIGNAL_L1;NOISE_L1;ref_tissue_L1;REF_L1;SRR_L1;Z_L2;SNR_L2;SIGNAL_L2;NOISE_L2;ref_tissue_L2;REF_L2;SRR_L2
CELP_pancreas;1057.0;CELP;pancreas;pancreas;5.8;2.8;5.918098;2.134522;breast;0.0325;182.1;4.0;2.8;5.918098;2.134522;female_genital;0.06814;86.9
CENPA_embryonic_stem_cells;1058.0;CENPA;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.4;2.4;3.245711;1.360301;female_genital;0.375247;8.6
CENPE_embryonic_stem_cells;1062.0;CENPE;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.6;2.2;3.42009;1.567969;female_genital;0.29595;11.6
CENPF_embryonic_stem_cells;1063.0;CENPF;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.6;2.2;5.079868;2.326417;female_genital;0.612233;8.3
CETN1_testis;1068.0;CETN1;testis;male_germinal;6.5;238.5;6.017274;0.025226;breast;0.01275;471.9;4.2;403.4;6.017274;0.014916;female_genital;0.011528;522.0
CFTR_pancreas;1080.0;CFTR;pancreas;pancreas;;;;;;;;3.8;3.0;5.30455;1.774276;female_genital;0.272121;19.5
CGA_pituitary_gland;1081.0;CGA;pituitary_gland;endocrine_gland;5.2;1.4;11.221914;8.308972;breast;0.081057;138.4;;;;;;;
CGA_placenta;1081.0;CGA;placenta;placenta;;;;;;;;4.2;7.3;8.308972;1.138266;female_genital;0.10321;80.5
CGB3_placenta;1082.0;CGB3;placenta;placenta;5.7;2.5;4.181373;1.703027;breast;0.22024;19.0;4.1;4.3;4.181373;0.968523;female_genital;0.286759;14.6
CEACAM3_blood;1084.0;CEACAM3;blood;hematopoietic;5.0;1.6;5.371738;3.332293;breast;0.114487;46.9;3.7;2.0;4.122155;2.017637;female_genital;0.124497;33.1
CEACAM7_colon;1087.0;CEACAM7;colon;digestive;;;;;;;;2.9;4.4;3.010679;0.689117;female_genital;0.439638;6.8
CEACAM7_mouth;1087.0;CEACAM7;mouth;head_neck;;;;;;;;2.8;4.2;2.889954;0.689117;female_genital;0.439638;6.6
CEACAM7_rectum_anus;1087.0;CEACAM7;rectum_anus;digestive;4.1;1.3;8.934006;7.078549;breast;0.114001;78.4;;;;;;;
CEACAM8_blood;1088.0;CEACAM8;blood;hematopoietic;;;;;;;;3.7;2.3;1.942349;0.85986;female_genital;0.030122;64.5
CEACAM8_bone_marrow;1088.0;CEACAM8;bone_marrow;hematopoietic;5.9;2.4;5.79715;2.430501;breast;0.041163;140.8;;;;;;;
CEACAM4_blood;1089.0;CEACAM4;blood;hematopoietic;4.6;1.4;5.348439;3.832045;breast;0.271029;19.7;3.2;1.4;4.098047;2.977437;female_genital;0.27292;15.0
CHAD_liver;1101.0;CHAD;liver;hepato_bilary;;;;;;;;2.6;1.2;2.837593;2.448589;female_genital;1.488581;1.9
AKR1C4_biliary_tract;1109.0;AKR1C4;biliary_tract;hepato_bilary;4.1;1.6;6.171125;3.897789;breast;0.063363;97.4;;;;;;;
AKR1C4_liver;1109.0;AKR1C4;liver;hepato_bilary;4.2;1.6;6.307286;3.897789;breast;0.063363;99.5;4.2;11.7;6.232136;0.531873;female_genital;0.052652;118.4
CHEK1_embryonic_stem_cells;1111.0;CHEK1;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.2;1.2;4.191858;3.459257;female_genital;1.281357;3.3
CHGA_testis;1113.0;CHGA;testis;male_germinal;;;;;;;;2.5;1.2;5.263057;4.287365;female_genital;0.401185;13.1
CHGB_pituitary_gland;1114.0;CHGB;pituitary_gland;endocrine_gland;4.4;1.5;9.794682;6.395057;breast;0.299631;32.7;;;;;;;
CHIT1_bone_marrow;1118.0;CHIT1;bone_marrow;hematopoietic;4.3;1.4;4.571056;3.324678;breast;0.912337;5.0;;;;;;;
CHML_embryonic_stem_cells;1122.0;CHML;embryonic_stem_cells;totipotent_stem_cells;3.9;1.4;4.174376;2.91662;breast;1.681773;2.5;3.1;1.4;4.174376;2.91662;female_genital;1.619617;2.6
CHRM1_prostate;1128.0;CHRM1;prostate;male_genital;4.5;1.4;3.690887;2.549994;breast;1.074216;3.4;3.6;2.0;3.690887;1.8767;female_genital;0.582125;6.3
CHRM4_testis;1132.0;CHRM4;testis;male_germinal;;;;;;;;2.8;1.9;2.068727;1.091232;female_genital;0.145567;14.2
CHRM4_tonsil;1132.0;CHRM4;tonsil;lymphoid;;;;;;;;2.5;1.7;1.891487;1.091232;female_genital;0.145567;13.0
CHRNA1_muscles;1134.0;CHRNA1;muscles;heart_muscles;5.8;3.4;4.858888;1.409288;breast;0.164396;29.6;3.9;2.2;2.304521;1.035959;female_genital;0.095499;24.1
CHRNA2_prostate;1135.0;CHRNA2;prostate;male_genital;6.0;3.0;3.092939;1.018981;breast;0.180837;17.1;4.2;7.6;3.092939;0.407468;female_genital;0.099873;31.0
CHRNA3_thymus;1136.0;CHRNA3;thymus;lymphoid;5.3;2.9;4.555142;1.586793;breast;0.081567;55.8;;;;;;;
CHRNA4_biliary_tract;1137.0;CHRNA4;biliary_tract;hepato_bilary;4.6;1.7;3.436495;1.975382;breast;0.00988;347.8;;;;;;;
CHRNA4_liver;1137.0;CHRNA4;liver;hepato_bilary;;;;;;;;2.8;1.3;1.92982;1.4682;female_genital;0.06631;29.1
CHRNA5_embryonic_stem_cells;1138.0;CHRNA5;embryonic_stem_cells;totipotent_stem_cells;4.9;1.9;2.386171;1.267824;breast;0.278116;8.6;4.1;5.2;2.386171;0.455659;female_genital;0.238555;10.0
CHRNB1_muscles;1140.0;CHRNB1;muscles;heart_muscles;4.7;1.4;5.242082;3.634462;breast;1.705431;3.1;;;;;;;
